Nome,Endereço,CEP,Cidade,Estado,País,lat,lng
Posto San Lorenzzo,"Loteamento Palmares, S/N",57100-000,Rio Largo,AL4,BR,-9.52523540889008,-35.799357188454934
Posto Cidade,"Av. Conselheiro Luiz Viana, 275",45820-130,Eunápolis,BA4P,BR,-16.375227144722242,-39.583496169314245
Posto São Jorge,"Av. Salustiano Sarmento, 425",57044-060,Maceió,AL1P,BR,-9.619530596200864,-35.70967749894958
Posto Liderança,"Avenida Menino Marcelo, 15",57046-000,Maceió,AL1P,BR,-9.602829322340265,-35.72235846944379
Posto Nosso Posto 1,"Rua Firmo Correia de Araújo, 364",57071-012,Maceió,AL1P,BR,-9.578237160150218,-35.77652483599121
Posto Nosso Posto 2,"Av. Jorge Barros, 485",57.063-00,Maceió,AL1P,BR,-9.581474102855223,-35.77433287717226
Posto Jatiúca,"Av. Dona Constança de Góes Monteiro, 720",57.036-37,Maceió,AL1P,BR,-9.652407546716905,-35.71736677636932
Auto Posto Visa,"RUA VINTE E QUATRO DE MAIO, 910",83323-060,Curitiba,PR8,BR,-25.443465671434705,-49.19620483937092
Posto Alto Maracana,"Rua Abel Scuissiato, 603",83408-280,Curitiba,PR6P,BR,-25.36819367479618,-49.18500698189677
Posto Quality QNA 56,QNA 56 Lote 1,72110-560,Brasília,DFGEP,BR,-15.816664378174616,-48.060028034481746
Posto Colina Br 070,Qnm 40 Area Especial N° 14,72146-025,Brasília,DFGEP,BR,-15.79156337643603,-48.10530484343069
Brasil Vistorias Planaltina,Setor de Oficinas Conjunto E Lote 20 - Planaltina,73340-050,Brasília,DFVISP,BR,-15.606253354647128,-47.64587444824397
Brasil Vistorias Paranoá,Área de Desenvolvimento Econômico Quadra 3 Conjunto A Lote 38,71570-300,Brasília,DFVISP,BR,-15.780151,-47.792877
Posto APMB Montanhes,Avenidad Mario Maia-Rua Coxim,69921-692,RIO BRANCO,ACP,BR,-9.929731189439813,-67.83774159265629
Via Combustíveis,AVENIDA CEARA N. 1867,69900-303,Rio Branco,ACP2,BR,-9.970671887190486,-67.81308307580072
Posto Amapá,VIA CHICO MENDES N. 3570,69906-119,Rio Branco,ACP2,BR,-10.007091774770105,-67.80275513234403
Posto São Francisco,RUA SEIS DE AGOSTO N. 31,699056290,Rio Branco,ACP2,BR,-9.95146277861739,-67.8053985638779
Posto APMB Conquista,RUA VALDOMIRO LOPES,69918-764,RIO BRANCO,ACP2,BR,-9.952361776768615,-67.83125246871496
